web-scraper-order,web-scraper-start-url,title,air_date,rating,score,description,image-src,link,link-href,length,episodes,episodes-href,seasons
"1708777692-159","https://www.imdb.com/search/title/?title_type=tv_series","Mighty Morphin Power Rangers","1993–1996","TV-Y7","6.6","A team of teenagers with attitude are recruited to save Angel Grove from the evil witch, Rita Repulsa, and later, Lord Zedd, Emperor of all he sees, and their horde of monsters.","https://m.media-amazon.com/images/M/MV5BZWVjMWRjNjktY2I5Yy00NzllLWFiNmMtOTQyZGE3OTNmNzM4XkEyXkFqcGdeQXVyMTUyNjc3NDQ4._V1_QL75_UX190_CR0,2,190,281_.jpg","1091. Mighty Morphin Power Rangers","https://www.imdb.com/title/tt0106064/?ref_=sr_t_1091","30m","Episodes156","https://www.imdb.com/title/tt0106064/episodes?ref_=tt_eps_sm","3"
"1708777698-160","https://www.imdb.com/search/title/?title_type=tv_series","Zom 100: Bucket List of the Dead","2023","TV-MA","7.7","A worker in a foreign finance company is bullied and worked around the clock, before a zombie outbreak finally makes him feel alive.","https://m.media-amazon.com/images/M/MV5BMmVmNDVjMmEtOGMyNS00OTAwLWI5YTQtMGYyOWNiMTNhN2JhXkEyXkFqcGdeQXVyMzgxODM4NjM@._V1_QL75_UY281_CR5,0,190,281_.jpg","1090. Zom 100: Bucket List of the Dead","https://www.imdb.com/title/tt25811262/?ref_=sr_t_1090","24m","Episodes12","https://www.imdb.com/title/tt25811262/episodes?ref_=tt_eps_sm","1"
"1708777704-161","https://www.imdb.com/search/title/?title_type=tv_series","Young Justice","2010–2023","TV-PG","8.6","Teenage superheroes strive to prove themselves as members of the Justice League.","https://m.media-amazon.com/images/M/MV5BMTAwYzE4NzItY2Q3Zi00NjRmLWE5ZTAtMDM5OWIyMmQ3MTFlXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_QL75_UX190_CR0,0,190,281_.jpg","1089. Young Justice","https://www.imdb.com/title/tt1641384/?ref_=sr_t_1089","23m","Episodes102","https://www.imdb.com/title/tt1641384/episodes?ref_=tt_eps_sm","Unknown"
"1708777710-162","https://www.imdb.com/search/title/?title_type=tv_series","Good Witch","2015–2021","TV-PG","7.3","""Good Witch"" will take viewers on a new magical journey with Cassie Nightingale and her daughter Grace. When Dr. Sam Radford moves in next door to Grey House with his son, they are charmed by the 'magical' mother-daughter duo.","https://m.media-amazon.com/images/M/MV5BNjExMTJkMWEtYTM1Yy00YjBlLWEzOWItNGM0YzZjNzFkMjlkXkEyXkFqcGdeQXVyMTE2OTE2MzE1._V1_QL75_UY281_CR0,0,190,281_.jpg","1088. Good Witch","https://www.imdb.com/title/tt3906732/?ref_=sr_t_1088","48m","Episodes76","https://www.imdb.com/title/tt3906732/episodes?ref_=tt_eps_sm","Unknown"
"1708777716-163","https://www.imdb.com/search/title/?title_type=tv_series","Newhart","1982–1990","TV-G","7.8","The misadventures of an author-turned-innkeeper and his friends in rural Vermont.","https://m.media-amazon.com/images/M/MV5BMTM3MTg0Mjk0OF5BMl5BanBnXkFtZTcwMDI5MDA2MQ@@._V1_QL75_UY281_CR11,0,190,281_.jpg","1087. Newhart","https://www.imdb.com/title/tt0083455/?ref_=sr_t_1087","30m","Episodes184","https://www.imdb.com/title/tt0083455/episodes?ref_=tt_eps_sm","8"
"1708777723-164","https://www.imdb.com/search/title/?title_type=tv_series","I Love Lucy","1951–1957","TV-Y","8.5","The wife of a band leader constantly tries to become a star - in spite of her having no talent, and gets herself (along with her best friend) into the funniest predicaments.","https://m.media-amazon.com/images/M/MV5BNDhhN2Y1NzMtNGVlZS00MTNjLWIxN2ItYzJiN2ZhMTc2OGIwXkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_QL75_UY281_CR1,0,190,281_.jpg","1086. I Love Lucy","https://www.imdb.com/title/tt0043208/?ref_=sr_t_1086","30m","Episodes181","https://www.imdb.com/title/tt0043208/episodes?ref_=tt_eps_sm","6"
"1708777795-165","https://www.imdb.com/search/title/?title_type=tv_series","My Little Pony: Friendship Is Magic","2010–2020","TV-Y","7.7","After learning that her friends, as well as herself, are the magical Elements of Harmony, studious unicorn Twilight Sparkle is sent by her mentor, Princess Celestia, to Ponyville to study the magic of friendship with help from her friends.","https://m.media-amazon.com/images/M/MV5BMGU0ZDVjYTctNjgwNi00MjI1LWIwMjYtZDE1MmE1NzAwMzgzXkEyXkFqcGdeQXVyNjUzMDIyNzE@._V1_QL75_UY281_CR13,0,190,281_.jpg","1084. My Little Pony: Friendship Is Magic","https://www.imdb.com/title/tt1751105/?ref_=sr_t_1084","22m","Episodes235","https://www.imdb.com/title/tt1751105/episodes?ref_=tt_eps_sm","Unknown"
"1708777801-166","https://www.imdb.com/search/title/?title_type=tv_series","Torchwood","2006–2011","TV-MA","7.7","The members of the Torchwood Institute, a secret organization founded by the British Crown, fight to protect the Earth from extraterrestrial and supernatural threats.","https://m.media-amazon.com/images/M/MV5BNGYyNTA5ZWItNDhmNi00ZWRjLWEwZDQtM2UyYjYxYWQyZTIyXkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_QL75_UY281_CR4,0,190,281_.jpg","1083. Torchwood","https://www.imdb.com/title/tt0485301/?ref_=sr_t_1083","50m","Episodes41","https://www.imdb.com/title/tt0485301/episodes?ref_=tt_eps_sm","4"
"1708777806-167","https://www.imdb.com/search/title/?title_type=tv_series","Spider-Man: The Animated Series","1994–1998","TV-Y7","8.4","A young man with spider-like abilities fights crime as a superhero in New York City while trying to have a normal personal life.","https://m.media-amazon.com/images/M/MV5BMmQ1NzBlYmItNmZkZi00OTZkLTg5YTEtNTI5YjczZjk3Yjc1XkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_QL75_UY281_CR4,0,190,281_.jpg","1082. Spider-Man: The Animated Series","https://www.imdb.com/title/tt0112175/?ref_=sr_t_1082","23m","Episodes65","https://www.imdb.com/title/tt0112175/episodes?ref_=tt_eps_sm","5"
"1708777812-168","https://www.imdb.com/search/title/?title_type=tv_series","Black Snow","2022–","TV-MA","7.2","In 1994, seventeen-year-old Isabel Baker was murdered. The crime shocked the small town of Ashford and devastated the Australian South Sea Islander community of Elizabeth.","https://m.media-amazon.com/images/M/MV5BYjYxY2FhNzMtYjNjZS00MzdmLThlOTEtNzUxZTlhNzczNmIzXkEyXkFqcGdeQXVyNjU0NTI0Nw@@._V1_QL75_UY281_CR1,0,190,281_.jpg","1081. Black Snow","https://www.imdb.com/title/tt21263178/?ref_=sr_t_1081","52m","Episodes6","https://www.imdb.com/title/tt21263178/episodes?ref_=tt_eps_sm","1"
