web-scraper-order,web-scraper-start-url,title,air_date,rating,score,description,image-src,link,link-href,length,episodes,episodes-href,seasons
"1708777949-191","https://www.imdb.com/search/title/?title_type=tv_series","It's Okay to Not Be Okay","2020","TV-MA","8.6","An extraordinary road to emotional healing opens up for an selfish antisocial children's-book writer and a selfless psych-ward caretaker when they cross paths.","https://m.media-amazon.com/images/M/MV5BYTk0Nzk5ZWYtYTNlZi00YjBjLWJhYjctMWMwMmYyMDA5ZjJmXkEyXkFqcGdeQXVyNDY5MjMyNTg@._V1_QL75_UY281_CR4,0,190,281_.jpg","1058. It's Okay to Not Be Okay","https://www.imdb.com/title/tt12451520/?ref_=sr_t_1058","1h 20m","Episodes16","https://www.imdb.com/title/tt12451520/episodes?ref_=tt_eps_sm","1"
"1708777955-192","https://www.imdb.com/search/title/?title_type=tv_series","The Bold and the Beautiful","1987–","TV-PG","3.4","The saga of high fashion glamour, honor, romance, passion, and most importantly, family.","https://m.media-amazon.com/images/M/MV5BN2Q2ZWU2ZGYtNDIzOC00YzRhLWI0ZTctYTI3M2EzNmNkOWNmXkEyXkFqcGdeQXVyNDYxNDE1NjQ@._V1_QL75_UX190_CR0,2,190,281_.jpg","1057. The Bold and the Beautiful","https://www.imdb.com/title/tt0092325/?ref_=sr_t_1057","19m","Episodes9250","https://www.imdb.com/title/tt0092325/episodes?ref_=tt_eps_sm","1"
"1708777960-193","https://www.imdb.com/search/title/?title_type=tv_series","Baddies East","2023–","","6.8","Executive Producer Natalie Nunn, Chrisean Rock, Rollie and more of the OG Baddies are back to show up and show out with newbies like Sukihana and Sky - to take over the East Coast.","https://m.media-amazon.com/images/M/MV5BMzBmYWQxMTctMTM1Yy00NjhiLWEwZTgtNjhkYmM0NDI2OGNiXkEyXkFqcGdeQXVyODUyMTkwOTg@._V1_QL75_UX190_CR0,0,190,281_.jpg","1056. Baddies East","https://www.imdb.com/title/tt29218693/?ref_=sr_t_1056","","Episodes20","https://www.imdb.com/title/tt29218693/episodes?ref_=tt_eps_sm","1"
"1708777966-194","https://www.imdb.com/search/title/?title_type=tv_series","Wolf Pack","2023","TV-MA","6.5","A teenage boy and girl get their lives changed forever when a California wildfire awakens a terrifying supernatural creature. As the full moon rises, all teens come together to unravel the secret that connects them.","https://m.media-amazon.com/images/M/MV5BNGMxMzFhZjctZjcxOC00ZmY3LTg0MmYtODg4YWU3ZDhmMmUxXkEyXkFqcGdeQXVyMTUwNjg3NTUw._V1_QL75_UX190_CR0,2,190,281_.jpg","1055. Wolf Pack","https://www.imdb.com/title/tt15487922/?ref_=sr_t_1055","53m","Episodes8","https://www.imdb.com/title/tt15487922/episodes?ref_=tt_eps_sm","1"
"1708777973-195","https://www.imdb.com/search/title/?title_type=tv_series","Rise of Empires: Ottoman","2020–2022","TV-MA","7.9","Ottoman Sultan Mehmed II wages an epic campaign to take the Byzantine capital of Constantinople and shapes the course of history for centuries.","https://m.media-amazon.com/images/M/MV5BODIyNGU3OGMtNzBiYi00YTA4LTkzNjItYzBjZDgwMDUyMDg1XkEyXkFqcGdeQXVyOTkzODAxNTE@._V1_QL75_UY281_CR18,0,190,281_.jpg","1054. Rise of Empires: Ottoman","https://www.imdb.com/title/tt9244578/?ref_=sr_t_1054","44m","Episodes12","https://www.imdb.com/title/tt9244578/episodes?ref_=tt_eps_sm","2"
"1708777980-196","https://www.imdb.com/search/title/?title_type=tv_series","The Librarians","2014–2018","TV-14","7.2","A group of librarians set off on adventures in an effort to save mysterious, ancient artifacts.","https://m.media-amazon.com/images/M/MV5BMTUyOTY5MDM0MF5BMl5BanBnXkFtZTgwNzU0MzAyNDM@._V1_QL75_UX190_CR0,0,190,281_.jpg","1053. The Librarians","https://www.imdb.com/title/tt3663490/?ref_=sr_t_1053","42m","Episodes42","https://www.imdb.com/title/tt3663490/episodes?ref_=tt_eps_sm","4"
"1708777987-197","https://www.imdb.com/search/title/?title_type=tv_series","Wizards of Waverly Place","2007–2012","TV-G","6.9","The Russo family may be an ordinary family with an average restaurant, but behind close doors, all three children must compete to be the next family wizard.","https://m.media-amazon.com/images/M/MV5BZGYzMjA3MjQtZjkwMi00N2RmLTgyNTktYjk4OTAwNzUyNmVjL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTEwMTkwOTI@._V1_QL75_UX190_CR0,9,190,281_.jpg","1052. Wizards of Waverly Place","https://www.imdb.com/title/tt0799922/?ref_=sr_t_1052","22m","Episodes106","https://www.imdb.com/title/tt0799922/episodes?ref_=tt_eps_sm","4"
"1708777993-198","https://www.imdb.com/search/title/?title_type=tv_series","ALF","1986–1990","TV-G","7.4","When an ugly creature, who loves eating cats, crash-lands into the Terran family's garage, they treat him as a guest and allow him to live with them as he comments on the stupidity of mankind.","https://m.media-amazon.com/images/M/MV5BYmRhNzk2YWUtNWIxNC00YWM3LWI5ODEtN2IwOGQzYWEwMWJjXkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_QL75_UX190_CR0,0,190,281_.jpg","1051. ALF","https://www.imdb.com/title/tt0090390/?ref_=sr_t_1051","30m","Episodes104","https://www.imdb.com/title/tt0090390/episodes?ref_=tt_eps_sm","Unknown"
"1708778000-199","https://www.imdb.com/search/title/?title_type=tv_series","Fuller House","2016–2020","TV-G","6.7","In a continuation of Full House (1987), D.J. Fuller is a mother of three young boys and is a recent widow. D.J.'s sister Stephanie, her best friend Kimmy and Kimmy's teenage daughter all move in to help raise her sons. The house is now a lot fuller.","https://m.media-amazon.com/images/M/MV5BMjAxMzU5MzA0MF5BMl5BanBnXkFtZTgwODgyOTg1MzI@._V1_QL75_UX190_CR0,0,190,281_.jpg","1050. Fuller House","https://www.imdb.com/title/tt3986586/?ref_=sr_t_1050","30m","Episodes76","https://www.imdb.com/title/tt3986586/episodes?ref_=tt_eps_sm","Unknown"
"1708778005-200","https://www.imdb.com/search/title/?title_type=tv_series","Into the Badlands","2015–2019","TV-14","7.9","A mighty warrior and a young boy with supernatural powers search for enlightenment in a ruthless post-apocalyptic America controlled by feudal barons.","https://m.media-amazon.com/images/M/MV5BNGUzMmNkMWMtNTI4OC00ZGY1LThlZmUtMDI5YjYyZDE2MzE2XkEyXkFqcGdeQXVyMzY0MTE3NzU@._V1_QL75_UX190_CR0,2,190,281_.jpg","1049. Into the Badlands","https://www.imdb.com/title/tt3865236/?ref_=sr_t_1049","42m","Episodes32","https://www.imdb.com/title/tt3865236/episodes?ref_=tt_eps_sm","3"
"1708778011-201","https://www.imdb.com/search/title/?title_type=tv_series","Mama's Family","1983–1990","TV-PG","7.3","Mama's Family originated with Thelma ""Mama"" Harper, and her younger sister Fran living together in Mama's house.","https://m.media-amazon.com/images/M/MV5BZjEwNzNhMGMtMWIxZC00YTZkLWEyM2UtOGI5NDUyNDBiZjQ1XkEyXkFqcGdeQXVyNzA5NTY3MTY@._V1_QL75_UX190_CR0,2,190,281_.jpg","1048. Mama's Family","https://www.imdb.com/title/tt0085050/?ref_=sr_t_1048","30m","Episodes130","https://www.imdb.com/title/tt0085050/episodes?ref_=tt_eps_sm","6"
"1708778017-202","https://www.imdb.com/search/title/?title_type=tv_series","Barney Miller","1975–1982","TV-PG","8.3","The Captain of the NYPD 12th Precinct and his staff handle the various local troubles and characters that come into the squad room.","https://m.media-amazon.com/images/M/MV5BNmM0YzcwZWQtYTIxMC00NTlmLThlMmItOGRjNWI5MTk5YmJkXkEyXkFqcGdeQXVyMTUyNjc3NDQ4._V1_QL75_UY281_CR11,0,190,281_.jpg","1047. Barney Miller","https://www.imdb.com/title/tt0072472/?ref_=sr_t_1047","30m","Episodes171","https://www.imdb.com/title/tt0072472/episodes?ref_=tt_eps_sm","8"
"1708778024-203","https://www.imdb.com/search/title/?title_type=tv_series","Melrose Place","1992–1999","TV-14","6.0","Classic serial drama around a group of friends living in Melrose Place, California.","https://m.media-amazon.com/images/M/MV5BMTcxOTU5NjE0M15BMl5BanBnXkFtZTcwMTY2MzYzMQ@@._V1_QL75_UY281_CR7,0,190,281_.jpg","1046. Melrose Place","https://www.imdb.com/title/tt0103491/?ref_=sr_t_1046","1h","Episodes219","https://www.imdb.com/title/tt0103491/episodes?ref_=tt_eps_sm","7"
"1708778030-204","https://www.imdb.com/search/title/?title_type=tv_series","The Good Ship Murder","2023–","","5.6","Former police detective Jack Grayling, now pursuing his dream of becoming a cabaret singer on a luxury Mediterranean cruise ship, investigates a series of murders on board with the help of ship's First Officer Kate Woods.","https://m.media-amazon.com/images/M/MV5BNmQzYjdkOTItNTMwNS00OTlmLTgyYjctOWRjMGIyNDQxNzgzXkEyXkFqcGdeQXVyMDM5MDg2Ng@@._V1_QL75_UX190_CR0,2,190,281_.jpg","1045. The Good Ship Murder","https://www.imdb.com/title/tt26346233/?ref_=sr_t_1045","","Episodes8","https://www.imdb.com/title/tt26346233/episodes?ref_=tt_eps_sm","1"
"1708778036-205","https://www.imdb.com/search/title/?title_type=tv_series","Love Island","2015–","TV-MA","5.3","Single hopefuls looking for love complete tasks, couple off and get voted out week by week. Packed full of drama.","https://m.media-amazon.com/images/M/MV5BMDU4NTQwNGUtYzU4ZC00NzFmLWEyZWYtODk1YWQyNDA2ZDEwXkEyXkFqcGdeQXVyNjg0NTcxMTg@._V1_QL75_UY281_CR17,0,190,281_.jpg","1044. Love Island","https://www.imdb.com/title/tt4770018/?ref_=sr_t_1044","1h","Episodes490","https://www.imdb.com/title/tt4770018/episodes?ref_=tt_eps_sm","11"
"1708778042-206","https://www.imdb.com/search/title/?title_type=tv_series","The Wild Wild West","1965–1969","TV-PG","8.1","Two Secret Service agents, equipped with a wide array of gizmos, work for the government in the Old West.","https://m.media-amazon.com/images/M/MV5BOTAxMTE0MTQ4MF5BMl5BanBnXkFtZTcwMzU1MzE1MQ@@._V1_QL75_UY281_CR4,0,190,281_.jpg","1043. The Wild Wild West","https://www.imdb.com/title/tt0058855/?ref_=sr_t_1043","50m","Episodes104","https://www.imdb.com/title/tt0058855/episodes?ref_=tt_eps_sm","4"
"1708778048-207","https://www.imdb.com/search/title/?title_type=tv_series","Mr. D","2012–2018","","7.4","Follows a teacher juggle through being a teacher and deal with his students while trying to maintain his not so cool lifestyle.","https://m.media-amazon.com/images/M/MV5BMTQ5NTc1MTAxM15BMl5BanBnXkFtZTgwMTc4NjU2MzE@._V1_QL75_UY281_CR5,0,190,281_.jpg","1042. Mr. D","https://www.imdb.com/title/tt2128016/?ref_=sr_t_1042","","Episodes88","https://www.imdb.com/title/tt2128016/episodes?ref_=tt_eps_sm","8"
"1708778054-208","https://www.imdb.com/search/title/?title_type=tv_series","Pachinko","2022–","TV-MA","8.3","Based on the New York Times bestseller, this sweeping saga chronicles the hopes and dreams of a Korean immigrant family across four generations as they leave their homeland in an indomitable quest to survive and thrive.","https://m.media-amazon.com/images/M/MV5BNjJjZWEyOTMtYjVkYi00MjY0LTk4OTEtMWUwMDE4NWYyODg5XkEyXkFqcGdeQXVyNjEwNTM2Mzc@._V1_QL75_UX190_CR0,2,190,281_.jpg","1041. Pachinko","https://www.imdb.com/title/tt8888462/?ref_=sr_t_1041","55m","Episodes16","https://www.imdb.com/title/tt8888462/episodes?ref_=tt_eps_sm","2"
"1708778060-209","https://www.imdb.com/search/title/?title_type=tv_series","Workaholics","2011–2017","TV-14","8.1","A single-camera comedy featuring three friends who work together as telemarketers from 9 to 5, and live together from 5 to 9.","https://m.media-amazon.com/images/M/MV5BMTkxNzQ0MDMyMF5BMl5BanBnXkFtZTgwNTYzMjQ2NzE@._V1_QL75_UX190_CR0,2,190,281_.jpg","1040. Workaholics","https://www.imdb.com/title/tt1610527/?ref_=sr_t_1040","22m","Episodes86","https://www.imdb.com/title/tt1610527/episodes?ref_=tt_eps_sm","7"
"1708778066-210","https://www.imdb.com/search/title/?title_type=tv_series","Masters of the Universe: Revelation","2021","TV-PG","5.6","The war for Eternia begins again in what may be the final battle between He-Man and Skeletor. A new animated series from writer-director Kevin Smith.","https://m.media-amazon.com/images/M/MV5BMjRkNmE0NTYtN2IzNi00MzFiLTgzMDMtYjU0OTUyMzM4Njc2XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_QL75_UX190_CR0,0,190,281_.jpg","1039. Masters of the Universe: Revelation","https://www.imdb.com/title/tt10826054/?ref_=sr_t_1039","25m","Episodes10","https://www.imdb.com/title/tt10826054/episodes?ref_=tt_eps_sm","2"
"1708778072-211","https://www.imdb.com/search/title/?title_type=tv_series","Danger Force","2020–2024","TV-Y7","3.9","Captain Man has a new crew of superhero sidekicks - Danger Force. Captain Man and Schwoz create a fake school to train the kids to harness their uncontrollable superpowers to fight crime.","https://m.media-amazon.com/images/M/MV5BMjVmZjFhZDYtNmIyYy00NTk1LTk4OTAtZWY1NDM0ZmFkMjdiXkEyXkFqcGdeQXVyODk4Nzg5NjE@._V1_QL75_UX190_CR0,2,190,281_.jpg","1038. Danger Force","https://www.imdb.com/title/tt11833388/?ref_=sr_t_1038","30m","Episodes68","https://www.imdb.com/title/tt11833388/episodes?ref_=tt_eps_sm","Unknown"
"1708778077-212","https://www.imdb.com/search/title/?title_type=tv_series","Dark Angel","2000–2002","TV-14","7.3","A group of genetically-enhanced children escape from a lab project. Years later we meet Max, one of the escapees who now works for a messenger service in the post-apocalyptic Pacific Northwest.","https://m.media-amazon.com/images/M/MV5BNThlYzVmMGEtOGY1OS00NTdjLTkwYmItOWRiNTYwNDJiNGY3XkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_QL75_UY281_CR4,0,190,281_.jpg","1037. Dark Angel","https://www.imdb.com/title/tt0204993/?ref_=sr_t_1037","1h","Episodes42","https://www.imdb.com/title/tt0204993/episodes?ref_=tt_eps_sm","2"
"1708778084-213","https://www.imdb.com/search/title/?title_type=tv_series","Gintama","2005–2021","TV-14","8.7","In an era where aliens have invaded and taken over feudal Tokyo, an unemployed samurai finds work however he can.","https://m.media-amazon.com/images/M/MV5BMDhmNjUxM2UtZTY2Zi00OTQ0LWExNjgtNDhkNTUyMjQ3MmU5XkEyXkFqcGdeQXVyNjAwNDUxODI@._V1_QL75_UY281_CR4,0,190,281_.jpg","1036. Gintama","https://www.imdb.com/title/tt0988818/?ref_=sr_t_1036","25m","Episodes375","https://www.imdb.com/title/tt0988818/episodes?ref_=tt_eps_sm","Unknown"
"1708778090-214","https://www.imdb.com/search/title/?title_type=tv_series","The Pit","2016–2021","TV-14","7.6","A dangerous neighborhood, ""The Pit"", ran by a noble mafia family called Koçovali. When the family is in the danger of losing the control of The Pit, their youngest son now must come back to his home, where he could never escape from.","https://m.media-amazon.com/images/M/MV5BZDg3MDA2ZDktOWQ1OS00ZmNmLThmNDgtNzhmNTgwY2VhOTkyXkEyXkFqcGdeQXVyOTQ1Mzg0Mzg@._V1_QL75_UY281_CR156,0,190,281_.jpg","1035. The Pit","https://www.imdb.com/title/tt7431994/?ref_=sr_t_1035","2h","Episodes132","https://www.imdb.com/title/tt7431994/episodes?ref_=tt_eps_sm","Unknown"
"1708778096-215","https://www.imdb.com/search/title/?title_type=tv_series","The Amazing World of Gumball","2011–2019","TV-Y7-FV","8.3","The life of a twelve-year-old boy who happens to be a blue cat as he lives with his family and other strange creatures.","https://m.media-amazon.com/images/M/MV5BYWU1YTA4OGUtNjcxMC00ZTllLTgxYWUtY2U5NmViZTU0MmNjXkEyXkFqcGdeQXVyMTM0NTUzNDIy._V1_QL75_UX190_CR0,2,190,281_.jpg","1034. The Amazing World of Gumball","https://www.imdb.com/title/tt1942683/?ref_=sr_t_1034","11m","Episodes241","https://www.imdb.com/title/tt1942683/episodes?ref_=tt_eps_sm","7"
"1708778102-216","https://www.imdb.com/search/title/?title_type=tv_series","Sanningen","2023–","","6.2","A cold case turns topical again and turns everything upside down, intertwining the lives of several people.","https://m.media-amazon.com/images/M/MV5BZjhjNjFjNzAtZGNiOS00YmFhLWI3YmQtZTdhMWM3NGEzZmYyXkEyXkFqcGdeQXVyNDQzNTcyOQ@@._V1_QL75_UY281_CR4,0,190,281_.jpg","1033. Sanningen","https://www.imdb.com/title/tt19818812/?ref_=sr_t_1033","","Episodes6","https://www.imdb.com/title/tt19818812/episodes?ref_=tt_eps_sm","1"
"1708778108-217","https://www.imdb.com/search/title/?title_type=tv_series","Terminator: The Sarah Connor Chronicles","2008–2009","TV-PG","7.6","Set after the events in Terminator 2: Judgment Day (1991), Sarah Connor and her son, John, try to stay under-the-radar from the government, as they plot to destroy the computer network, Skynet, in hopes of preventing Armageddon.","https://m.media-amazon.com/images/M/MV5BZGE2ZDgyOWUtNzdiNS00OTI3LTkwZGQtMTMwNzM4YWUxNGNhXkEyXkFqcGdeQXVyNjU2NjA5NjM@._V1_QL75_UX190_CR0,2,190,281_.jpg","1032. Terminator: The Sarah Connor Chronicles","https://www.imdb.com/title/tt0851851/?ref_=sr_t_1032","1h","Episodes31","https://www.imdb.com/title/tt0851851/episodes?ref_=tt_eps_sm","2"
"1708778120-218","https://www.imdb.com/search/title/?title_type=tv_series","Neighbours","1985–","TV-G","5.6","Australian soap opera exploring the lives and relationships of the residents of Ramsay Street in a suburb of Melbourne called Erinsborough.","https://m.media-amazon.com/images/M/MV5BYjAxMzc1YjAtNGZkMS00MzQ5LThlNDEtNjBhOTliZTQ2MGNjXkEyXkFqcGdeQXVyNTE1NjY5Mg@@._V1_QL75_UY281_CR5,0,190,281_.jpg","1031. Neighbours","https://www.imdb.com/title/tt0088580/?ref_=sr_t_1031","22m","Episodes9199","https://www.imdb.com/title/tt0088580/episodes?ref_=tt_eps_sm","1"
"1708778126-219","https://www.imdb.com/search/title/?title_type=tv_series","A Touch of Frost","1992–2010","TV-MA","7.9","DI Jack Frost is an unconventional policeman with sympathy for the underdog and an instinct for moral justice. Sloppy, disorganized, and disrespectful, he attracts trouble like a magnet.","https://m.media-amazon.com/images/M/MV5BM2FlYjlkN2MtN2ZjZi00NTE2LWFmZjctNzRhMDM2MzY5ZTNjXkEyXkFqcGdeQXVyMjExMjk0ODk@._V1_QL75_UY281_CR9,0,190,281_.jpg","1030. A Touch of Frost","https://www.imdb.com/title/tt0108967/?ref_=sr_t_1030","1h 45m","Episodes42","https://www.imdb.com/title/tt0108967/episodes?ref_=tt_eps_sm","15"
"1708778132-220","https://www.imdb.com/search/title/?title_type=tv_series","Everwood","2002–2006","TV-PG","7.5","A widowed brain surgeon from Manhattan moves his two children to the small mountain town of Everwood, Colorado.","https://m.media-amazon.com/images/M/MV5BZDUyZjE1OTQtMzc3ZC00YmM1LTlhODgtNjM3NmNmZTFmZmU2XkEyXkFqcGdeQXVyMzU3MTc5OTE@._V1_QL75_UY281_CR1,0,190,281_.jpg","1029. Everwood","https://www.imdb.com/title/tt0318883/?ref_=sr_t_1029","1h","Episodes89","https://www.imdb.com/title/tt0318883/episodes?ref_=tt_eps_sm","4"
"1708778139-221","https://www.imdb.com/search/title/?title_type=tv_series","Scream Queens","2015–2016","TV-14","7.1","A semi-anthology series that centers on characters being terrorized by a serial killer in different locations, including a university and a hospital.","https://m.media-amazon.com/images/M/MV5BOTg2Mzk3MmMtMjQ3Yy00NGJhLWEwZDEtNDA5NmMzNjE4YTM1XkEyXkFqcGdeQXVyNjc1OTg0MTA@._V1_QL75_UX190_CR0,2,190,281_.jpg","1028. Scream Queens","https://www.imdb.com/title/tt4145384/?ref_=sr_t_1028","45m","Episodes23","https://www.imdb.com/title/tt4145384/episodes?ref_=tt_eps_sm","2"
"1708778146-222","https://www.imdb.com/search/title/?title_type=tv_series","The Owl House","2020–2023","TV-Y7-FV","8.5","Accidentally sent to the world of the Boiling Isles before a trip to summer camp, a teenage human named Luz longs to become a witch and is aided by rebellious Eda and pint-sized demon King.","https://m.media-amazon.com/images/M/MV5BOGQ0MDQyYWMtNjdlYy00ZDAyLWE5YTItMzcyMjllZTA4MTcyXkEyXkFqcGdeQXVyMjEzNTg5Mzk@._V1_QL75_UY281_CR5,0,190,281_.jpg","1027. The Owl House","https://www.imdb.com/title/tt8050756/?ref_=sr_t_1027","22m","Episodes43","https://www.imdb.com/title/tt8050756/episodes?ref_=tt_eps_sm","3"
"1708778152-223","https://www.imdb.com/search/title/?title_type=tv_series","Empire","2015–2020","TV-14","7.4","A hip-hop mogul must choose a successor among his three sons who are battling for control over his multi-million dollar company, while his ex-wife schemes to reclaim what is hers.","https://m.media-amazon.com/images/M/MV5BOWY0ZmY1Y2MtYTY0OC00ODc4LTg1MjEtOTY2Yjg0MmM3MTZjXkEyXkFqcGdeQXVyMzQ2MDI5NjU@._V1_QL75_UX190_CR0,2,190,281_.jpg","1026. Empire","https://www.imdb.com/title/tt3228904/?ref_=sr_t_1026","42m","Episodes103","https://www.imdb.com/title/tt3228904/episodes?ref_=tt_eps_sm","6"
"1708778158-224","https://www.imdb.com/search/title/?title_type=tv_series","Dollhouse","2009–2010","TV-14","7.7","A top secret organization erases the identities of attractive young people, turning them into blank ""dolls"" ready for imprints of temporary identities they need to fulfill assignments for clients.","https://m.media-amazon.com/images/M/MV5BNDY1ODU5MDQ0M15BMl5BanBnXkFtZTcwMTM2MTA4Mg@@._V1_QL75_UX190_CR0,0,190,281_.jpg","1025. Dollhouse","https://www.imdb.com/title/tt1135300/?ref_=sr_t_1025","44m","Episodes27","https://www.imdb.com/title/tt1135300/episodes?ref_=tt_eps_sm","2"
"1708778164-225","https://www.imdb.com/search/title/?title_type=tv_series","H2O: Just Add Water","2006–2010","TV-PG","7.3","Three girls become mermaids after a mysterious island transforms them and gives them special powers.","https://m.media-amazon.com/images/M/MV5BYzY5MmYxNDItOWVkZS00MzFiLTlhMDQtNzZlZjQ3YmY3YzAxXkEyXkFqcGdeQXVyMTUyNjc3NDQ4._V1_QL75_UX190_CR0,2,190,281_.jpg","1024. H2O: Just Add Water","https://www.imdb.com/title/tt0491603/?ref_=sr_t_1024","23m","Episodes78","https://www.imdb.com/title/tt0491603/episodes?ref_=tt_eps_sm","3"
"1708778170-226","https://www.imdb.com/search/title/?title_type=tv_series","Hannah Montana","2006–2011","TV-G","5.3","Adventures of a teenage pop star who keeps her identity secret from even her closest friends by using a disguise on-stage.","https://m.media-amazon.com/images/M/MV5BYjZhY2NiN2EtMjMwZi00YTZlLTljOTktYTExNjliZTQ5ZTMxXkEyXkFqcGdeQXVyODk1MjAxNzQ@._V1_QL75_UX190_CR0,2,190,281_.jpg","1023. Hannah Montana","https://www.imdb.com/title/tt0493093/?ref_=sr_t_1023","23m","Episodes100","https://www.imdb.com/title/tt0493093/episodes?ref_=tt_eps_sm","4"
"1708778176-227","https://www.imdb.com/search/title/?title_type=tv_series","Bel-Air","2022–","TV-MA","6.4","The journey of a street-smart teen whose life is forever transformed when he moves from the streets of West Philadelphia to live with his relatives in one of LA's wealthiest suburbs.","https://m.media-amazon.com/images/M/MV5BM2I3ZmE3YTAtNDM5MS00NzQ1LWFhOWUtN2ZmMmEzNjQ3MzFkXkEyXkFqcGdeQXVyMTUzMTg2ODkz._V1_QL75_UX190_CR0,0,190,281_.jpg","1022. Bel-Air","https://www.imdb.com/title/tt12878838/?ref_=sr_t_1022","51m","Episodes21","https://www.imdb.com/title/tt12878838/episodes?ref_=tt_eps_sm","3"
"1708778182-228","https://www.imdb.com/search/title/?title_type=tv_series","Good Times","1974–1979","TV-PG","7.4","A poor family make the best of things in the Chicago housing projects.","https://m.media-amazon.com/images/M/MV5BOTg2NjdmYTctMDQ5My00NmFkLTlkYzktYmFhOGUzZDFjMWY4XkEyXkFqcGdeQXVyOTQ1MjE4OTE@._V1_QL75_UX190_CR0,2,190,281_.jpg","1021. Good Times","https://www.imdb.com/title/tt0070991/?ref_=sr_t_1021","30m","Episodes133","https://www.imdb.com/title/tt0070991/episodes?ref_=tt_eps_sm","6"
"1708778187-229","https://www.imdb.com/search/title/?title_type=tv_series","Code Geass","2006–2008","TV-14","8.7","After being given a mysterious power to control others, an outcast prince becomes the masked leader of the rebellion against an all-powerful empire.","https://m.media-amazon.com/images/M/MV5BYzZjY2MzYTAtMmQxMi00MWVjLTlkZGQtYjJmNWVhODY3YjdjXkEyXkFqcGdeQXVyNjAwNDUxODI@._V1_QL75_UY281_CR4,0,190,281_.jpg","1020. Code Geass","https://www.imdb.com/title/tt0994314/?ref_=sr_t_1020","24m","Episodes54","https://www.imdb.com/title/tt0994314/episodes?ref_=tt_eps_sm","Unknown"
"1708778194-230","https://www.imdb.com/search/title/?title_type=tv_series","The Shannara Chronicles","2016–2017","TV-14","7.1","Series of adventures, war, and evil that occur throughout the history of the Four Lands.","https://m.media-amazon.com/images/M/MV5BMTkxNjEwOTY4M15BMl5BanBnXkFtZTgwNTA2ODk0NzE@._V1_QL75_UX190_CR0,0,190,281_.jpg","1019. The Shannara Chronicles","https://www.imdb.com/title/tt1051220/?ref_=sr_t_1019","42m","Episodes20","https://www.imdb.com/title/tt1051220/episodes?ref_=tt_eps_sm","2"
"1708778200-231","https://www.imdb.com/search/title/?title_type=tv_series","The Facts of Life","1979–1988","TV-PG","6.8","Mrs. Edna Garrett, housemother and dietitian at the Eastland School, teaches a group of girls in her charge how to solve those problems that every teenager has to face.","https://m.media-amazon.com/images/M/MV5BMTMyNzA0Nzk1Nl5BMl5BanBnXkFtZTcwNzY4NjYzMQ@@._V1_QL75_UX190_CR0,1,190,281_.jpg","1018. The Facts of Life","https://www.imdb.com/title/tt0078610/?ref_=sr_t_1018","30m","Episodes201","https://www.imdb.com/title/tt0078610/episodes?ref_=tt_eps_sm","9"
"1708778206-232","https://www.imdb.com/search/title/?title_type=tv_series","BMF","2021–","TV-MA","7.5","Two brothers who rose from the decaying streets of southwest Detroit in the late 1980s and gave birth to one of the most influential crime families in the country.","https://m.media-amazon.com/images/M/MV5BMjI4Njc5MjQtZDdjNi00ZmIzLWI1NTctZjAxYjVmMWQ3ODEyXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_QL75_UX190_CR0,2,190,281_.jpg","1017. BMF","https://www.imdb.com/title/tt3850598/?ref_=sr_t_1017","1h","Episodes28","https://www.imdb.com/title/tt3850598/episodes?ref_=tt_eps_sm","3"
